测量点,数据日期,正向有功-总,示数,正向无功-总,示数
分表０２,2015/5/1,,,,
分表０２,2015/5/2,,,,
分表０２,2015/5/3,,,,
分表０２,2015/5/4,,,,
分表０２,2015/5/5,,,,
分表０２,2015/5/6,,,,
分表０２,2015/5/7,,,,
分表０２,2015/5/8,,,,
分表０２,2015/5/9,,,,
分表０２,2015/5/10,,,,
分表０２,2015/5/11,,,,
分表０２,2015/5/12,,,,
分表０２,2015/5/13,76,"4,818.18",37,"2,498.81"
分表０２,2015/5/14,106,"4,819.24",42,"2,499.23"
分表０２,2015/5/15,128,"4,820.52",60,"2,499.83"
分表０２,2015/5/16,94,"4,821.46",37,"2,500.20"
分表０２,2015/5/17,92,"4,822.39",41,"2,500.61"
分表０２,2015/5/18,95,"4,823.33",42,"2,501.03"
分表０２,2015/5/19,95,"4,824.28",37,"2,501.40"
分表０２,2015/5/20,108,"4,825.36",43,"2,501.83"
分表０２,2015/5/21,102,"4,826.38",41,"2,502.24"
分表０２,2015/5/22,109,"4,827.47",43,"2,502.67"
分表０２,2015/5/23,94,"4,828.41",41,"2,503.08"
分表０２,2015/5/24,88,"4,829.29",40,"2,503.48"
分表０２,2015/5/25,93,"4,830.22",38,"2,503.86"
分表０２,2015/5/26,102,"4,831.24",38,"2,504.24"
分表０２,2015/5/27,106,"4,832.30",41,"2,504.65"
分表０２,2015/5/28,98,"4,833.28",37,"2,505.02"
分表０２,2015/5/29,93,"4,834.21",37,"2,505.39"
分表０２,2015/5/30,105,"4,835.26",41,"2,505.80"
分表０２,2015/5/31,74,"4,836.00",31,"2,506.11"
分表０２,2015/6/1,59,"4,836.59",29,"2,506.40"
分表０２,2015/6/2,75,"4,837.34",33,"2,506.73"
分表０２,2015/6/3,62,"4,837.96",31,"2,507.04"
分表０２,2015/6/4,77,"4,838.73",46,"2,507.50"
分表０２,2015/6/5,91,"4,839.64",51,"2,508.01"
分表０２,2015/6/6,75,"4,840.39",43,"2,508.45"
分表０２,2015/6/7,75,"4,841.14",49,"2,508.93"
分表０２,2015/6/8,74,"4,841.88",35,"2,509.28"
分表０２,2015/6/9,70,"4,842.58",37,"2,509.65"
分表０２,2015/6/10,71,"4,843.29",34,"2,509.99"
分表０２,2015/6/11,73,"4,844.02",36,"2,510.35"
分表０２,2015/6/12,88,"4,844.90",35,"2,510.70"
分表０２,2015/6/13,65,"4,845.55",33,"2,511.04"
分表０２,2015/6/14,58,"4,846.13",29,"2,511.32"
分表０２,2015/6/15,76,"4,846.89",29,"2,511.61"
分表０２,2015/6/16,66,"4,847.55",26,"2,511.87"
分表０２,2015/6/17,73,"4,848.28",32,"2,512.19"
分表０２,2015/6/18,68,"4,848.96",29,"2,512.48"
分表０２,2015/6/19,211,"4,851.07",131,"2,513.79"
分表０２,2015/6/20,9,"4,851.16",2,"2,513.81"
分表０２,2015/6/21,57,"4,851.73",29,"2,514.10"
分表０２,2015/6/22,54,"4,852.27",27,"2,514.37"
分表０２,2015/6/23,61,"4,852.88",29,"2,514.66"
分表０２,2015/6/24,184,"4,854.72",129,"2,515.95"
分表０２,2015/6/25,302,"4,857.74",199,"2,517.94"
分表０２,2015/6/26,329,"4,861.03",213,"2,520.07"
分表０２,2015/6/27,101,"4,862.04",63,"2,520.70"
分表０２,2015/6/28,65,"4,862.69",33,"2,521.03"
分表０２,2015/6/29,193,"4,864.63",126,"2,522.29"
分表０２,2015/6/30,67,"4,865.29",31,"2,522.60"
分表０２,2015/7/1,66,"4,865.95",42,"2,523.02"
分表０２,2015/7/2,60,"4,866.55",29,"2,523.31"
分表０２,2015/7/3,59,"4,867.14",27,"2,523.58"
分表０２,2015/7/4,324,"4,870.38",196,"2,525.54"
分表０２,2015/7/5,84,"4,871.22",55,"2,526.09"
分表０２,2015/7/6,59,"4,871.81",27,"2,526.36"
分表０２,2015/7/7,58,"4,872.39",26,"2,526.62"
分表０２,2015/7/8,63,"4,873.02",32,"2,526.94"
分表０２,2015/7/9,69,"4,873.71",32,"2,527.26"
分表０２,2015/7/10,218,"4,875.89",146,"2,528.72"
分表０２,2015/7/11,337,"4,879.26",245,"2,531.17"
分表０２,2015/7/12,314,"4,882.40",244,"2,533.61"
分表０２,2015/7/13,299,"4,885.39",215,"2,535.76"
分表０２,2015/7/14,324,"4,888.63",223,"2,537.99"
分表０２,2015/7/15,389,"4,892.53",291,"2,540.90"
分表０２,2015/7/16,295,"4,895.47",199,"2,542.89"
分表０２,2015/7/17,315,"4,898.62",217,"2,545.06"
分表０２,2015/7/18,325,"4,901.87",243,"2,547.49"
分表０２,2015/7/19,293,"4,904.80",216,"2,549.65"
分表０２,2015/7/20,334,"4,908.14",232,"2,551.97"
分表０２,2015/7/21,375,"4,911.89",267,"2,554.64"
分表０２,2015/7/22,314,"4,915.03",237,"2,557.01"
分表０２,2015/7/23,303,"4,918.06",211,"2,559.12"
分表０２,2015/7/24,335,"4,921.41",222,"2,561.34"
分表０２,2015/7/25,415,"4,925.56",288,"2,564.22"
分表０２,2015/7/26,324,"4,928.80",246,"2,566.68"
分表０２,2015/7/27,279,"4,931.59",213,"2,568.81"
分表０２,2015/7/28,295,"4,934.54",226,"2,571.07"
分表０２,2015/7/29,318,"4,937.72",231,"2,573.38"
分表０２,2015/7/30,322,"4,940.94",251,"2,575.89"
分表０２,2015/7/31,446,"4,945.40",310,"2,578.99"
分表０２,2015/8/1,344,"4,948.84",281,"2,581.80"
分表０２,2015/8/2,313,"4,951.97",226,"2,584.06"
分表０２,2015/8/3,367,"4,955.64",234,"2,586.40"
分表０２,2015/8/4,328,"4,958.92",229,"2,588.69"
分表０２,2015/8/5,355,"4,962.47",263,"2,591.32"
分表０２,2015/8/6,295,"4,965.42",231,"2,593.63"
分表０２,2015/8/7,329,"4,968.71",249,"2,596.12"
分表０２,2015/8/8,347,"4,972.18",279,"2,598.91"
分表０２,2015/8/9,248,"4,974.66",231,"2,601.22"
分表０２,2015/8/10,235,"4,977.01",186,"2,603.08"
分表０２,2015/8/11,274,"4,979.75",211,"2,605.19"
分表０２,2015/8/12,319,"4,982.94",246,"2,607.65"
分表０２,2015/8/13,232,"4,985.26",168,"2,609.33"
分表０２,2015/8/14,251,"4,987.77",177,"2,611.10"
分表０２,2015/8/15,165,"4,989.42",117,"2,612.27"
分表０２,2015/8/16,260,"4,992.02",197,"2,614.24"
分表０２,2015/8/17,285,"4,994.87",230,"2,616.54"
分表０２,2015/8/18,359,"4,998.46",270,"2,619.24"
分表０２,2015/8/19,300,"5,001.46",212,"2,621.36"
分表０２,2015/8/20,240,"5,003.86",177,"2,623.13"
分表０２,2015/8/21,307,"5,006.93",221,"2,625.34"
分表０２,2015/8/22,277,"5,009.70",222,"2,627.56"
分表０２,2015/8/23,306,"5,012.76",227,"2,629.83"
分表０２,2015/8/24,280,"5,015.56",208,"2,631.91"
分表０２,2015/8/25,277,"5,018.33",211,"2,634.02"
分表０２,2015/8/26,300,"5,021.33",210,"2,636.12"
分表０２,2015/8/27,290,"5,024.23",204,"2,638.16"
分表０２,2015/8/28,366,"5,027.89",281,"2,640.97"
分表０２,2015/8/29,267,"5,030.56",194,"2,642.91"
分表０２,2015/8/30,283,"5,033.39",223,"2,645.14"
分表０２,2015/8/31,296,"5,036.35",225,"2,647.40"
分表０２,2015/9/1,266,"5,039.01",197,"2,649.36"
分表０２,2015/9/2,327,"5,042.28",243,"2,651.80"
分表０２,2015/9/3,13,"5,042.41",14,"2,651.93"
分表０２,2015/9/4,6,"5,042.47",4,"2,651.97"
分表０２,2015/9/5,234,"5,044.81",174,"2,653.71"
分表０２,2015/9/6,243,"5,047.25",168,"2,655.39"
分表０２,2015/9/7,284,"5,050.09",219,"2,657.58"
分表０２,2015/9/8,221,"5,052.29",179,"2,659.37"
分表０２,2015/9/9,200,"5,054.29",169,"2,661.06"
分表０２,2015/9/10,93,"5,055.22",61,"2,661.67"
分表０２,2015/9/11,51,"5,055.73",30,"2,661.97"
分表０２,2015/9/12,46,"5,056.19",29,"2,662.26"
分表０２,2015/9/13,43,"5,056.62",26,"2,662.52"
分表０２,2015/9/14,69,"5,057.31",33,"2,662.85"
分表０２,2015/9/15,60,"5,057.92",43,"2,663.28"
分表０２,2015/9/16,74,"5,058.65",49,"2,663.77"
分表０２,2015/9/17,62,"5,059.27",34,"2,664.11"
分表０２,2015/9/18,55,"5,059.82",34,"2,664.45"
分表０２,2015/9/19,46,"5,060.28",28,"2,664.74"
分表０２,2015/9/20,39,"5,060.67",26,"2,664.99"
分表０２,2015/9/21,61,"5,061.28",34,"2,665.33"
分表０２,2015/9/22,65,"5,061.93",41,"2,665.74"
分表０２,2015/9/23,75,"5,062.68",52,"2,666.26"
分表０２,2015/9/24,51,"5,063.19",29,"2,666.55"
分表０２,2015/9/25,49,"5,063.68",30,"2,666.85"
分表０２,2015/9/26,35,"5,064.03",25,"2,667.10"
分表０２,2015/9/27,7,"5,064.10",4,"2,667.14"
分表０２,2015/9/28,65,"5,064.75",38,"2,667.52"
分表０２,2015/9/29,65,"5,065.40",33,"2,667.85"
分表０２,2015/9/30,44,"5,065.84",27,"2,668.12"
分表０２,2015/10/1,6,"5,065.90",4,"2,668.16"
分表０２,2015/10/2,7,"5,065.97",4,"2,668.20"
分表０２,2015/10/3,7,"5,066.04",4,"2,668.24"
分表０２,2015/10/4,6,"5,066.10",3,"2,668.27"
分表０２,2015/10/5,37,"5,066.47",24,"2,668.51"
分表０２,2015/10/6,61,"5,067.08",47,"2,668.98"
分表０２,2015/10/7,59,"5,067.67",34,"2,669.32"
分表０２,2015/10/8,64,"5,068.31",33,"2,669.65"
分表０２,2015/10/9,58,"5,068.89",34,"2,669.99"
分表０２,2015/10/10,42,"5,069.31",30,"2,670.29"
分表０２,2015/10/11,37,"5,069.68",25,"2,670.54"
分表０２,2015/10/12,59,"5,070.27",35,"2,670.89"
分表０２,2015/10/13,58,"5,070.85",32,"2,671.21"
分表０２,2015/10/14,49,"5,071.34",31,"2,671.52"
分表０２,2015/10/15,56,"5,071.90",34,"2,671.86"
分表０２,2015/10/16,50,"5,072.40",30,"2,672.16"
分表０２,2015/10/17,35,"5,072.75",26,"2,672.42"
分表０２,2015/10/18,35,"5,073.10",26,"2,672.68"
分表０２,2015/10/19,44,"5,073.54",28,"2,672.96"
分表０２,2015/10/20,54,"5,074.08",40,"2,673.36"
分表０２,2015/10/21,58,"5,074.66",50,"2,673.86"
分表０２,2015/10/22,47,"5,075.13",31,"2,674.17"
分表０２,2015/10/23,61,"5,075.74",37,"2,674.54"
分表０２,2015/10/24,35,"5,076.09",27,"2,674.81"
分表０２,2015/10/25,40,"5,076.49",29,"2,675.11"
分表０２,2015/10/26,51,"5,077.00",29,"2,675.39"
分表０２,2015/10/27,53,"5,077.53",32,"2,675.71"
分表０２,2015/10/28,115,"5,078.68",34,"2,676.05"
分表０２,2015/10/29,64,"5,079.33",32,"2,676.37"
分表０２,2015/10/30,57,"5,079.89",27,"2,676.64"
分表０２,2015/10/31,82,"5,080.71",37,"2,677.02"
分表０２,2015/11/1,81,"5,081.52",51,"2,677.52"
分表０２,2015/11/2,84,"5,082.36",36,"2,677.88"
分表０２,2015/11/3,42,"5,082.78",28,"2,678.16"
分表０２,2015/11/4,58,"5,083.36",28,"2,678.44"
分表０２,2015/11/5,85,"5,084.21",33,"2,678.77"
分表０２,2015/11/6,85,"5,085.06",35,"2,679.12"
分表０２,2015/11/7,34,"5,085.40",25,"2,679.37"
分表０２,2015/11/8,68,"5,086.08",34,"2,679.71"
分表０２,2015/11/9,98,"5,087.06",32,"2,680.03"
分表０２,2015/11/10,110,"5,088.16",34,"2,680.37"
分表０２,2015/11/11,81,"5,088.97",35,"2,680.72"
分表０２,2015/11/12,142,"5,090.39",35,"2,681.07"
分表０２,2015/11/13,104,"5,091.43",39,"2,681.46"
分表０２,2015/11/14,69,"5,092.12",29,"2,681.75"
分表０２,2015/11/15,53,"5,092.65",26,"2,682.01"
分表０２,2015/11/16,69,"5,093.34",27,"2,682.28"
分表０２,2015/11/17,101,"5,094.35",33,"2,682.61"
分表０２,2015/11/18,129,"5,095.64",38,"2,682.99"
分表０２,2015/11/19,120,"5,096.84",36,"2,683.35"
分表０２,2015/11/20,77,"5,097.61",28,"2,683.63"
分表０２,2015/11/21,38,"5,097.99",24,"2,683.87"
分表０２,2015/11/22,77,"5,098.76",28,"2,684.15"
分表０２,2015/11/23,82,"5,099.58",24,"2,684.39"
分表０２,2015/11/24,89,"5,100.48",40,"2,684.79"
分表０２,2015/11/25,307,"5,103.54",192,"2,686.71"
分表０２,2015/11/26,299,"5,106.54",169,"2,688.40"
分表０２,2015/11/27,279,"5,109.32",160,"2,690.00"
分表０２,2015/11/28,52,"5,109.84",27,"2,690.27"
分表０２,2015/11/29,78,"5,110.62",25,"2,690.52"
分表０２,2015/11/30,305,"5,113.67",171,"2,692.23"
分表０２,2015/12/1,291,"5,116.58",179,"2,694.02"
分表０２,2015/12/2,386,"5,120.45",225,"2,696.27"
分表０２,2015/12/3,290,"5,123.34",155,"2,697.82"
分表０２,2015/12/4,212,"5,125.46",121,"2,699.03"
分表０２,2015/12/5,48,"5,125.94",25,"2,699.28"
分表０２,2015/12/6,225,"5,128.19",122,"2,700.50"
分表０２,2015/12/7,251,"5,130.70",153,"2,702.03"
分表０２,2015/12/8,281,"5,133.51",136,"2,703.39"
分表０２,2015/12/9,242,"5,135.93",139,"2,704.78"
分表０２,2015/12/10,342,"5,139.35",218,"2,706.96"
分表０２,2015/12/11,190,"5,141.25",113,"2,708.09"
分表０２,2015/12/12,168,"5,142.93",109,"2,709.18"
分表０２,2015/12/13,115,"5,144.08",25,"2,709.43"
分表０２,2015/12/14,300,"5,147.08",168,"2,711.11"
分表０２,2015/12/15,148,"5,148.56",94,"2,712.05"
分表０２,2015/12/16,353,"5,152.09",201,"2,714.06"
分表０２,2015/12/17,252,"5,154.61",121,"2,715.27"
分表０２,2015/12/18,121,"5,155.83",35,"2,715.62"
分表０２,2015/12/19,204,"5,157.86",132,"2,716.94"
分表０２,2015/12/20,75,"5,158.61",35,"2,717.29"
分表０２,2015/12/21,327,"5,161.88",198,"2,719.27"
分表０２,2015/12/22,340,"5,165.28",206,"2,721.33"
分表０２,2015/12/23,303,"5,168.31",167,"2,723.00"
分表０２,2015/12/24,170,"5,170.01",114,"2,724.14"
分表０２,2015/12/25,175,"5,171.76",118,"2,725.32"
分表０２,2015/12/26,192,"5,173.69",118,"2,726.50"
分表０２,2015/12/27,77,"5,174.45",29,"2,726.79"
分表０２,2015/12/28,224,"5,176.69",156,"2,728.35"
分表０２,2015/12/29,282,"5,179.51",172,"2,730.07"
分表０２,2015/12/30,309,"5,182.60",186,"2,731.93"
分表０２,2015/12/31,260,"5,185.20",153,"2,733.46"
分表０２,2016/1/1,5,"5,185.25",3,"2,733.49"
分表０２,2016/1/2,4,"5,185.29",3,"2,733.52"
分表０２,2016/1/3,6,"5,185.35",4,"2,733.57"
分表０２,2016/1/4,196,"5,187.31",124,"2,734.81"
分表０２,2016/1/5,291,"5,190.23",174,"2,736.54"
分表０２,2016/1/6,243,"5,192.65",156,"2,738.10"
分表０２,2016/1/7,338,"5,196.03",165,"2,739.75"
分表０２,2016/1/8,284,"5,198.87",166,"2,741.41"
分表０２,2016/1/9,223,"5,201.10",115,"2,742.56"
分表０２,2016/1/10,62,"5,201.72",25,"2,742.81"
分表０２,2016/1/11,214,"5,203.86",107,"2,743.88"
分表０２,2016/1/12,301,"5,206.87",181,"2,745.69"
分表０２,2016/1/13,316,"5,210.03",187,"2,747.56"
分表０２,2016/1/14,194,"5,211.97",113,"2,748.69"
分表０２,2016/1/15,240,"5,214.37",152,"2,750.21"
分表０２,2016/1/16,185,"5,216.22",117,"2,751.38"
分表０２,2016/1/17,58,"5,216.80",27,"2,751.65"
分表０２,2016/1/18,266,"5,219.46",167,"2,753.32"
分表０２,2016/1/19,269,"5,222.15",160,"2,754.92"
分表０２,2016/1/20,333,"5,225.48",185,"2,756.77"
分表０２,2016/1/21,324,"5,228.72",186,"2,758.63"
分表０２,2016/1/22,281,"5,231.53",171,"2,760.35"
分表０２,2016/1/23,473,"5,236.27",288,"2,763.22"
分表０２,2016/1/24,69,"5,236.95",35,"2,763.57"
分表０２,2016/1/25,250,"5,239.45",147,"2,765.04"
分表０２,2016/1/26,313,"5,242.58",182,"2,766.86"
分表０２,2016/1/27,76,"5,243.34",41,"2,767.27"
分表０２,2016/1/28,377,"5,247.11",189,"2,769.16"
分表０２,2016/1/29,69,"5,247.80",45,"2,769.61"
分表０２,2016/1/30,211,"5,249.91",136,"2,770.97"
分表０２,2016/1/31,232,"5,252.23",181,"2,772.78"
分表０２,2016/2/1,240,"5,254.63",158,"2,774.36"
分表０２,2016/2/2,253,"5,257.16",137,"2,775.73"
分表０２,2016/2/3,202,"5,259.18",138,"2,777.11"
分表０２,2016/2/4,281,"5,261.99",181,"2,778.92"
分表０２,2016/2/5,19,"5,262.18",11,"2,779.03"
分表０２,2016/2/6,4,"5,262.22",2,"2,779.05"
分表０２,2016/2/7,5,"5,262.27",3,"2,779.08"
分表０２,2016/2/8,4,"5,262.31",2,"2,779.10"
